Username,User Age,User Skin Condition,Recommendation Status,Usage Period,Purchase Point,Product Brand,Product Name,Product Rating,Total Users Rated,User Review
nurulutmi, 25 - 29,"Oily, Medium, Neutral",nurulutmi doesn't recommend this product!,1 month - 3 months,Guardian,Safi,White Expert Ultimate Essence,3.8,263,"Pake ini cuman satuu botol doanggg, dan itu bikinn gue beruntusan pelan pelan. Perubahan signifikan juga engga sih. Di gue sih ga ada efek apa apa. Setiap wajah pasti beda beda kan. Gue pake ini tiap pagi aja,,, terus ya beruntusan di jidattt"
yuandita26, 25 - 29,"Combination, Medium, Warm",yuandita26 recommends this product!,3 months - 6 months,Shopee,The Ordinary,Niacinamide 10% + Zinc 1%,4,5177,"Super duper telat nyobain serum sebagus ini. Harus hati-hati memang biar ga dapet produk kw-nya. Teksturnya liquid lumayan thick, putih susu tapi bening. Aromanya kaya ada acidnya gitu. Meskipun thick tapi lumayan gampang diserap kulit. Efeknya? Wow jangan ditanya lagi, ... "
michellecntnia, 18 and Under,"Oily, Medium Light, Cool",michellecntnia recommends this product!,1 week - 1 month,Guardian,KUNDAL,Macadamia Ultra Hair Serum ,5,1,"seneng banget sama si serum soalnya ga lengket walaupun teksturnya ga cair banget, trs bikin rambut jd berkilau sih, harga nya msh worth it juga, aku beli di Shopee bisa dpt gratis ongkir, klo offline bs bgt ke guardian gais, wangi buah gt enak"
Hananinana, 18 and Under,"Oily, Medium, Warm",Hananinana recommends this product!,1 month - 3 months,Alfamart,Garnier,Pure Active Sensitive Anti Acne Cleansing Gel,3.5,426,"Ini sabun yang mayan lah di mukaku, gk kerasa harsh pas dipake tapi juga gk melembabkan juga sih di aku. Gk memperparah jerawat tapi juga gk begitu mencegah datangnya jerawat, jadi emang cuma buat cleansing aja di mukaku. Overall ok lah ya buat harga segitu muka udah ke ... "
Annisawr03, 25 - 29,"Combination, Medium, Warm",Annisawr03 doesn't recommend this product!,1 week - 1 month,Shopee,Scarlett,Fragrance Brightening Body Lotion,3.8,1412,"Iseng nyobain produk yg lg hits bgt. Untuk wanginya jujur suka bgt cepat meresap, utk mencerahkannya blm keliatan karna baru sebulanan pake. Kalau sudah terserap di kulit dia ga bikin lengket dan kalau terkena air pun dia ga bikin licin di kulit. Tapi maaf yaa, di kulit ... "
Maulidyacp, 19 - 24,"Oily, Medium, Warm",Maulidyacp recommends this product!,More than 1 year,Shopee,Hada Labo,Gokujyun Ultimate Moisturizing Lotion,4.4,4525,"Hydrating toner termurah, affordable, melembabkan banget sih ini. apalagi non alcohol, no fragrance juga. Aku oily tapi pake ini juga masih nyaman, gaada greasy sama sekali apalagi bikin too much oily. Bikin kulit super lembab, kayak kenyal kenyal gitu deh. Teksturnya c ... "
Eldy313, 25 - 29,"Combination, Medium Light, Warm",Eldy313 doesn't recommend this product!,Less than 1 week,Hypermart,Viva Cosmetics,Air Mawar,4.2,4208,"Aku gak cocok. bikin muka sumuk. berasa kurang bersih. malah oilyyy dan keluar jerawat yang gatel gitu lo rasanya. sayang banget padahal ini murah, bahkan temenku yang pake La Mer, pembersihnya cuma pake ini sama cleansing milk nya yang bengkoang. mujur banget dia bisa  ... "
tyanara, 25 - 29,"Combination, Medium Light, Neutral",tyanara recommends this product!,Less than 1 week,FD Try and Review,Pond's,Protecting Day Cream SPF 30 PA++,4.1,17,"dari dulu aku slalu cocok sm day cream nya dari Ponds terutama yang kemasan nya pink itu dulu.. sekarang aku nyobain Ponds day cream yang anti bakteri dari #FDtryandreview.. teksturnya mungkin kurang lebih sama, kental, aromanya wangi khas Ponds dan mudah di ratakan di  ... "
kakberbi, 25 - 29,"Combination, Medium Dark, Neutral",kakberbi recommends this product!,3 months - 6 months,Tokopedia,LT PRO,Smooth Corrector Cream Foundation,4.4,57,"sebenernya udah punya produk LT Pro smooth corrector cream foundation ini udah cukup lama yah.. aku punya 3 warna : 1. Chesnut 2. Plum Rose 3. Yellow orange.. pakai sedikit aja coverage nya jangan di tanya lagi,.. teksturnya Creamy.. Mudah di blend.. untuk pemakaian pri ... "
yuandita26, 25 - 29,"Combination, Medium, Warm",yuandita26 recommends this product!,1 month - 3 months,Shopee,SNP,Prep Peptaronic,4.3,227,"Hydrating toner terbaik saat ini. Teksturnya watery gel dengan sedikit perfumed beraroma rose. Meskipun agak thick tapi begitu terkena kulit dia langsung mencair dan mudah diserap kulit. Diaplikasikan 7 layers (2 - 3 tetes per layer) juga tetep nyaman, tipsnya agak jeda ... "
kakberbi, 25 - 29,"Combination, Medium Dark, Neutral",kakberbi recommends this product!,3 months - 6 months,Tokopedia,LT PRO,Smooth Corrector,4.7,13,"sebenernya udah punya produk LT Pro smooth corrector cream foundation ini udah cukup lama yah.. aku punya 3 warna : 1. Chesnut 2. Plum Rose 3. Yellow orange.. pakai sedikit aja coverage nya jangan di tanya lagi,.. teksturnya Creamy.. Mudah di blend.. untuk pemakaian pri ... "
Eldy313, 25 - 29,"Combination, Medium Light, Warm",Eldy313 recommends this product!,6 months - 1 year,Lottemart,Acnes,Creamy Wash,3.6,4605,"Ini gak bikin drying sebenernya. tapi ada sensasi ""sedikit"" cekit2 terutama di sekitar hidung. overall bagus sih. busanya creamy, lembut bangeeeet. daya bersihnya pun sangat oke untuk sebuah cleanser harga 20ribuan . dan tentunya patut dicoba yaaa 👍🏻"
kakberbi, 25 - 29,"Combination, Medium Dark, Neutral",kakberbi recommends this product!,3 months - 6 months,Tokopedia,LT PRO,Smooth Corrector Cream Foundation,4.5,15,"sebenernya udah punya produk LT Pro smooth corrector cream foundation ini udah cukup lama yah.. aku punya 3 warna : 1. Chesnut 2. Plum Rose 3. Yellow orange.. pakai sedikit aja coverage nya jangan di tanya lagi,.. teksturnya Creamy.. Mudah di blend.. untuk pemakaian pri ... "
Nisrinaaja0603, 25 - 29,"Combination, Medium, Warm",Nisrinaaja0603 recommends this product!,Less than 1 week,Sample,Estee Lauder,Advanced Night Repair,4.5,790,"Bagussss si ini serummm baru pake beberapa malem aja kerasa lembab ni wajah yg super keringg, plumpy juga kenyel2 gtu wajahkuuu, lebih cerahan dipagi hari klo malemnya pake ini....mungkin kalau ditelatenin pake sampe 1 botol abis khasiatnya lebih bagus yaa. Maybe bsok b ... "
tyanara, 25 - 29,"Combination, Medium Light, Neutral",tyanara recommends this product!,Less than 1 week,FD Try and Review,Pond's,Refreshing Face Mist Antibacterial,4.6,28,"baru pertama kali nyobain face mist dan seneng banget #FDtryandreview kirimin aku face mist dari Ponds ini. setelah di coba semprotin, wanginya itu loh rose banget.. mirip2 wanginya sama micellar water Ponds yg pink kecil2 itu.. bikin muka seger juga,, gampang nyerep da ... "
Derayaa, 19 - 24,"Dry, Medium Light, Neutral",Derayaa recommends this product!,1 week - 1 month,Brand website,Somethinc,HYALuronic B5,4.5,911,"yuhuuu serum ajaib untuk mendapatkan kulit sehat yang rutin aku pake ,teksturnya dia cair seperti air ,mudah meresap dan tidak terlalu lengket ,tapi gatau kenapa aku kurang suka sama wangi nya. tapii wangi nya ga menyengat ko cuman berasa aneh ,tapi pas di aplikasikan w ... "
rizmadiaz09, 19 - 24,"Combination, Medium Light, Neutral",rizmadiaz09 recommends this product!,6 months - 1 year,Shopee,Innisfree,Super Volcanic Pore Clay Mask,4.1,3022,"isinya banyak banget ga habis* deh , teksturnya ya selayaknya clay mask lainnya tapi dia ga ada aroma yang menyengat. aku pake seminggu sekali aja karena kulit aku kering, malam pake ini paginya muka jadi cerahan gitu. tapi, dia cepet bgt kering di jar nya, jadi musti c ... "
Eldy313, 25 - 29,"Combination, Medium Light, Warm",Eldy313 recommends this product!,More than 1 year,Lottemart,Ovale,Facial Mask,3.3,568,"MURAH TAPI BAGUSSS 😆👍🏻👍🏻👍🏻 Dulu rajin banget maskeran pakai ini. hampir everyday, jadi sebungkus bisa dipakai 3X. Kalo sekali pakai menurutku kebanyakan. Ini gak bikin drying yaaa. tapi bikin muka lebih bersih, bright, teksturnya lebih halus. pokoknya suka sama h ... "
nufabunamin, 19 - 24,"Oily, Medium, Warm",nufabunamin recommends this product!,Less than 1 week,Shopee,Emina,Squeeze Me Up Browcara,5,1,"Blum prnah pakai browcara sblumnya, tp bisa kupastikan bahwa aku bakal repurchase ini! Tipe Alisku sgt berambut, which is suitable for that type of eyebrow. Aku beli yg clear dan ini bikin keliatan natural bgttt, apalagi kalau mau bikin bushy eyebrow dibagian depan ini  ... "
rizmadiaz09, 19 - 24,"Combination, Medium Light, Neutral",rizmadiaz09 recommends this product!,More than 1 year,Shopee,Skin Aqua,UV Moisture Gel SPF 30 PA++,4.3,65,"buat daily di rumah aja selalu pake ini, tapi aku ga recommend buat di pake sama makeup ya karena bikin kulit kusam banget , walaupun dia sebenernya bagus ga bikin kulit oily. kalo dipake sendirian, dia makin dipake makin keliatan my skin but better gitu lah"
Eldy313, 25 - 29,"Combination, Medium Light, Warm",Eldy313 recommends this product!,6 months - 1 year,Matahari,Laneige,Water Bank Essence EX,4.2,510,"Ini salah satu hydrating serum favorit kuuu ♥️♥️♥️♥️♥️♥️♥️ udah ngabisin 3 botol dan ofkors pengen beliii lagi 😭😭😭👍🏻 apalagi yang versi terbaru ini isinya lebih banyak, 70ml !! Dan tersedia 2 macem jenis, untuk kulit kering dan berminyak."
yuandita26, 25 - 29,"Combination, Medium, Warm",yuandita26 recommends this product!,1 month - 3 months,Shopee,Wardah,Nature Daily Seaweed Cleansing Micellar Water,4.1,1256,"Awalnya pengen cari alternatif micellar dari brand lain dan kalo bisa dari lokal, akhirnya jatuh pada Wardah Seaweed ini. Teksturnya cair dan sedikit perfumed khasnya wardah, agak sedikit mengganggu tapi no problem. Daya angkat kotoran dan make up nya lumayan, cuma lebi ... "
Derayaa, 19 - 24,"Dry, Medium Light, Neutral",Derayaa recommends this product!,1 week - 1 month,Brand website,Somethinc,Ceramic Skin Saviour Moisturizer Gel,4.6,248,"yuhuuuu ampun deh sama moisturizing gel ini , enak banget dikulit , lembab, mencerahkan juga.kadang cukup pake ini aja kulit tuh pas keluar rumah keliatan banget glowing sehat alami nya. tapi menyerapnya aga sedikit butuh waktu sih 🤪🥰🤪"
Rr_Asfarina02, 25 - 29,"Combination, Medium Light, Neutral",Rr_Asfarina02 recommends this product!,1 month - 3 months,Traditional market,Biore,Pore Pack,3.2,5002,Untuk harga dan kualitas produk terbilang cukup ok sejauh ini dibanding brand lain yg pernah aku coba sebelumnya. Cuman memang kalau untuk total membersihkan komedo enggak ya tapi ini termasuk ok sih untuk dipakai terlebih kalau pas dadakan pngen bersihin komedo. Ini cu ... 
fresmana, 30 - 34,"Dry, Medium, Neutral",fresmana recommends this product!,1 month - 3 months,Gift,Instaperfect by Wardah,Browfessional 3D Brow Mascara,4.5,95,"daripada pensil alis aku emang lebih prefer pake brow mascara, tapi lumayan aga tricky cari yg pas sesuai dg mauku. ngga mau yg gelap banget dan ga mau yg coklat yg keliatan ngalis gitu. pas dikirimin ini awalnya rada ragu sih, jadi baru nyobain pake sebulanan ini. tern ... "
Rifaininf, 19 - 24,"Oily, Medium Light, Neutral",Rifaininf recommends this product!,1 week - 1 month,Instagram,Azarine Cosmetics,Hydrasoothe Sunscreen Gel SPF 45+++,4.8,429,"Teksturnya krim seperti sunscreen lainnya, terus ini enteng banget siii ga lengket. selain itu juga nyerepnya cepet bangett. dan aku baru punya sekali ini skincare yang ada propolisnya doongg. claimnya non alcohol tapi lumayan wangi sii jadi kayanya ada fragrancenya"
Eldy313, 25 - 29,"Combination, Medium Light, Warm",Eldy313 doesn't recommend this product!,1 month - 3 months,Lottemart,Himalaya,Gentle Exfoliating Daily Face Wash,3.7,432,"Dulu beli Himalaya Herbals sepaket pas awal masuk indonesia. Ada yang hasilnya bagus. ada yang biasa aja, nah kalo ini termasuk yang biasa aja. Yang gak aku suka dari produknya cuma satu, BIKIN DRYING 😩🤯🤯🤯🤯 sayang banget padahal berharap bisa cocok, dan selama paka ... "
dian_Angelzica, 25 - 29,"Normal, Medium Light, Neutral",dian_Angelzica recommends this product!,1 week - 1 month,Instagram,Whitelab,Mugwort Pore Clarifying Mask,4.9,570,"guys pemakain mugwort mask ini bisa dipakai 2-3 hari ya , di ini ada kandungan cica, greentea , niacinemide ya , untuk membersihkan wajah dan membersihkan kotoran pori yg tersumbat , tekstur nya ada daun² nya gitu , seger banget abis pake dan wajah jadi kelihatan makin  ... "
Derayaa, 19 - 24,"Dry, Medium Light, Neutral",Derayaa recommends this product!,1 week - 1 month,Brand website,Somethinc,Supple Power Hyaluronic9+ Onsen Essence Toner,4.8,56,"yuhuuu toner somethinc ini menurut ku wanginya enak bgt seger gitu ,terus pas diaplikasikan ke waja rasa nya adem bgt kekulit.terus kulit setelah itu terasa lembab terus aku sih ngerasanya kulit aku yang gradakan nya bagian idung (komedo) kaya terkikis halus 🤪🥰"
tyanara, 25 - 29,"Combination, Medium Light, Neutral",tyanara recommends this product!,Less than 1 week,FD Try and Review,Pond's,Anti Bacterial Facial Foam,4.1,39,"selama keluar rumah harus seharian pake masker dan yah wajahku jadi rentan jerawatan dan berminyak.. untungnya #FDtryandreview kirimin aku Ponds facial wash ini, setelah ku coba creamnya berwarna putih busanya kental dan creamy. aromanya mirip2 sabun antiseptik gtu, yah ... "
Natabi, 30 - 34,"Combination, Medium, Neutral",Natabi recommends this product!,3 months - 6 months,Shopee,PIXY,White-Aqua Hydra Moist Essence,4.9,602,"Ini essence yang cair teksturnya, ada aromanya tapi bagi saya enak harumnya, ketika diaplikasikan terasa segar di kulit, ada lengket sedikit tapi cuma sebentar aja.. Setelah itu dia menyerap. Efek yang rasakan ya segar aja. Kalo untuk mencerahkan sih nggak keliatan ya."
Eldy313, 25 - 29,"Combination, Medium Light, Warm",Eldy313 doesn't recommend this product!,1 week - 1 month,Lottemart,Sariayu,Peel Off Mask,3.3,245,"I DONT LIKE THISSSSS !!! Di peel off susaaah. 🙄 ya maklum sih, kualitas sesuai harganya kali yaaa. pokoknya ga sukaaaaaaa. Baru sekali pakai udah Kapokkk. ga ngaruh apa2, 😪😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭"
bintangabygail, 25 - 29,"Combination, Medium Light, Neutral",bintangabygail recommends this product!,1 week - 1 month,Shopee,Pratista,Hyalu Hydrating Toner,5,828,"Cepet bgt ngeresapnya!!! Buat yang tipe wajah normal to oily, gak perlu takut pake ini jadi kilang minyak, gak sama sekali! Justru bikin lembab tp ga lembab yg lebay jadi kayak seger bgt gt muka kita! Dan ini efek mencerahkannya ada bgt btw! Aku sukaaaa bgt! Dan alhamdu ... "
Megasyifa_, 19 - 24,"Oily, Medium, Warm",Megasyifa_ recommends this product!,Less than 1 week,Brand website,L'Oreal Paris,UV Defender Bright & Clear,4.9,571,"Sebelumnya udah pernah coba sunscreen loreal yang matte & fresh, dan sekarang dikasih kesempatan sama WOOP buat nyobain varian bright & clear.. jujur aku ternyata suka bgt sama sunscreen ini, 2in1 protection and skincare ada di 1 produk. No whitecast, ringan, ga ... "
dian_Angelzica, 25 - 29,"Normal, Medium Light, Neutral",dian_Angelzica recommends this product!,Less than 1 week,Instagram,Whitelab,Acne Cream,5,663,"yes!! ini cepet banget ngempesin jerawat aku , aku seneng banget dia juga yg kata nya memudarkan bekas jerawat dan noda hitam jadi, gk khawatir lagi klo lagi jerawatan karna uda ada ini , jerawat jadi gk membekas , bisa juga mengeluarkan kotoran pori2 yg tersumbat dan d ... "
Eldy313, 25 - 29,"Combination, Medium Light, Warm",Eldy313 recommends this product!,3 months - 6 months,Lottemart,Garnier,Light Complete White Speed Multi-Action Whitening Serum Cream Night Restore,3.3,486,Duluuu sempet pakai Garnier Light Complete day cream sm night cream nya. Jujur ini bagusss. baunya enakkk. hasilnya pun BAGUSSS !! Tapi sayang aku stop pemakaiannya bukan karna ga cocok . tapi karna males & bosen wkwk. Serius ini patut dicoba sih. Dan lagi2 harganya ... 
Rr_Asfarina02, 25 - 29,"Combination, Medium Light, Neutral",Rr_Asfarina02 doesn't recommend this product!,1 month - 3 months,Shopee,Innisfree,Jeju Volcanic Nose Pack,3,6,Diwajahku produk ini kurang berfungsi dengan baik. Hanya sebagian komedo aja yg bisa terangkat kurang nempel banget sih perekatnya. Repurchase? NO. Ada brand lain yg lebih ok dari ini untuk harga dan kualitasnya😁
dian_Angelzica, 25 - 29,"Normal, Medium Light, Neutral",dian_Angelzica recommends this product!,1 week - 1 month,Instagram,Whitelab,Eye Cream,5,348,"gila ini cucok banget buat aku , mencerahkan area bawah mata karna ada kandungan beta glucan nya dan ada kandungan coper tripeptide yg berfungsi untung mengencangkan dan memberi collagen , cocok juga buat yg lagi hamil or ibu menyusui , dan awet dipakai bersamaan make u ... "
virgiangela, 19 - 24,"Combination, Medium Light, Neutral",virgiangela recommends this product!,1 month - 3 months,Gift,Secret Key,Secret Key Starting Treatment Cream,4.1,7,"Moisturizer favoritku saat ini. Gilaa bagus banget buat ngelembapin wajah aku yg super kering. Ada kandungan niacinamidenya, bagus buat pudarin dark spot aku. Galactomyces buat anti aging. Ketika rutin pakai cream ini. Wajah aku jadi tidak mudah komedoan. Cukup seukuran ... "
Rachelandriani, 19 - 24,"Combination, Medium, Neutral",Rachelandriani recommends this product!,1 month - 3 months,Shopee,AVOSKIN,Miraculous Refining Toner,4.4,2098,"Sukaaa banget sama produk ini, dulu aku sebagai pemula langsung pake avoskin refining toner dan hasilnya sukaa. Hasil yang aku dapetin komedo berkurang,tekstur muka membaik,memudarkan bekas jerawat. Kalau make ini, pasti pagi nya auto glowing dan halus. Walaupun setiap  ... "
amelrosana, 25 - 29,"Combination, Medium Dark, Warm",amelrosana recommends this product!,1 week - 1 month,Gift,L'Oreal Paris,UV Defender Bright & Clear,4.9,570,"Bismillah. Sunscreen nya L'Oreal ini teksturnya ringan jadi gampang di-blend, ga lengket juga. Tetep ada Whitecast tapi masih masuk akal lah, ga lebay whitecast nya. Buat yg kulitnya dry kyknya mungkin bakal cocok menerutku krn sunscreen ini lembab banget. Kemasannya sl ... "
Eldy313, 25 - 29,"Combination, Medium Light, Warm",Eldy313 doesn't recommend this product!,1 month - 3 months,Alfamart,Garnier,BB Cream Miracle Skin Perfector,2.7,1350,"Finishnya oke, natural. cocok buat kulit ku yang agak putih 😂😂 tapi sayang kalo cuaca panasss bikin muka kusam, dekil, daaan oilyyy banget , jadinya kayak luntur gitu 😢 kan bikin malu ya gak sih, kalo kulitnya normal to dry kayaknya bakal pas2 aja. tapi kalo kulitnya ... "
dian_Angelzica, 25 - 29,"Normal, Medium Light, Neutral",dian_Angelzica recommends this product!,1 month - 3 months,Instagram,Whitelab,Brightening Face Serum,4.6,1714,"recommend serum ini untuk mencerahkan karna niacinemide 10% bisa mengatasi masalah kulit kusam dan juga mencerahkan dan merawat kulit kita , aku uda pake 1 bulan, dan teksur nya ni agak kental tapi mudah meresap dan lengket , dan ini botol nya juga kaca elegan banget"
istiqomah15, 19 - 24,"Dry, Medium Light, Warm",istiqomah15 recommends this product!,1 week - 1 month,Shopee,Dear Me Beauty,30 Seconds Meltaway Balm,4.5,168,"1. packaging berwarna orange bak jeruk yang menyegarkan wkwkwk anjay apaan dah wkwk. dengan tutupnya yang berwarna putih 2. POINT PLUS (+) ada aplikator utk ambil produknya jadi higienis gitu guys wkwk. 3. baunya aku love and hate sih, baunya peach tapi kalau di wajah s ... "
mutiaoktariani, 25 - 29,"Normal, Medium Light, Neutral",mutiaoktariani recommends this product!,Less than 1 week,Shopee,Azarine Cosmetics,Hydrasoothe Sunscreen Gel SPF 45+++,4.8,428,"Sunscreen terbaik menurutku karna ngga bikin kulit jadi berminyak dan ngga lengket juga. Terus formulanya ringan banget gampang menyerap ke kulit, ngga bikin kulit kusam juga. Seneng banget deh bisa kenal produk ini, cocok banget untuk yang punya tipe kulit berminyak, t ... "
Hannanazima, 19 - 24,"Combination, Medium Light, Neutral",Hannanazima recommends this product!,Less than 1 week,PR Package,The Body Culture,Underarm Whitening Balm,4.4,15,"first impression prodak ini tuh gemoy dan wangi nya seger banget. jadi kegunaan prodak ini membantu mencerahkan area2 yang gelap sepeti ketiak, siku, lutut dan lipatan paha. nah aku pake ini buat area lutut krna ngerasa akhir2 ini kering dan kasar bgt jd setiap abis man ... "
juaaa13, 18 and Under,"Combination, Light, Neutral",juaaa13 recommends this product!,1 month - 3 months,Shopee,Noola,Skin Oasis Overnight Mask,4.7,18,"plis ini penolong banget waktu kulit ak lagi jerawatn dan ga cocok skincare selain nenangin diya juga calming, hero ak klo lgi jerawatan parah pasti balik lagi ke noola 😭bagus banget, teksturnya juga ga lengket, enak di campur apa aja"
andinasalamah, 19 - 24,"Combination, Medium Dark, Warm",andinasalamah recommends this product!,1 month - 3 months,Shopee,AXIS-Y,Mugwort Pore Clarifying Wash Off Pack,4.4,512,"Ga usah di raguin lagi ini mah, praktis tinggal pakai. Wanginya sih calming ga bikin pusing, teksturnya kental dan susah dibilas. After using muka langsung lebih cerah dan besokannya jerawat langsung kempes dan kering. Untuk harga masih affordable karena emang produknya ... "
LisGowasa, 19 - 24,"Combination, Medium Light, Warm",LisGowasa recommends this product!,Less than 1 week,Lazada,Pond's,White Beauty Serum Burst Cream,4.1,167,"Ini serum cream bagus banget. melembabkan kulit wajah. Cocok buat dipake sehari-hari (buat aku sih), aku suka harumnya sama tekstur nya. Selain melembabkan krim ini juga mencerahkan dan mengecilkan pori.. Baguslah ini recommended banget"
inayyyyy277,19 - 24,,inayyyyy277 recommends this product!,More than 1 year,Lazada,Emina,Beauty Bliss BB Cream,3.8,429,"Bb cream kecintaan bangett, dulu awal kuliah pake foundi wardah karna blm kenal sama bb, pas aku cari2 eh nemu bb yg ringan, memutuskanlah untuk beli, eh langsung suka dong, sampe skrng smt 6 ga ganti gantii huhuu, warnanya cocok banget sama tone kulitku, teksturnya jg  ... "
thaa736, 19 - 24,"Oily, Medium, Warm",thaa736 recommends this product!,Less than 1 week,Shopee,Scarlett,Fragrance Brightening Body Lotion,4.4,245,"wah gila sih wanginya enakeun bangettt. sesuai namanya, wanginya segar. kalo lagi males pake parfum bisa pake ini aja soalnya lumayan tahan lama. gak melembabkan sih, trus kalo kena air gak licin juga tapi aku suka banget body lotion kayak gini, kebetulan kulitku emang  ... "
Hannanazima, 19 - 24,"Combination, Medium Light, Neutral",Hannanazima recommends this product!,Less than 1 week,PR Package,The Body Culture,Topping Balm Plus,4,3,pertama kali banget cobain prodak ini karna banyak yang rekomendasiin ini bumil wajib pake sebagai antisipasi agar stretch mark pudar. so far 1 minggu an lebih aku coba cukup nyaman untuk efek nya keliatan di daerah yg gelap2 agak pudar sedikit klo di stretch mark blm k ... 
istiqomah15, 19 - 24,"Dry, Medium Light, Warm",istiqomah15 recommends this product!,1 month - 3 months,sociolla,Somethinc,AHA BHA PHA Peeling Solution,4.1,1125,"1. kaca bening yang memudahkan kita utk melihat isi produknya 2. aplikatornya jg kaca tapi tipis gitu, jadi kalau jatuh keknya bakalan pecah deh beda dgn pipet aplikator lain but it's ok. 3. warnanya merah seperti darah tapi saat di aplikasikan ke wajah engga kok 😚 btw ... "
SalwaCahyaR, 18 and Under,"Combination, Medium Light, Neutral",SalwaCahyaR recommends this product!,1 month - 3 months,Brand website,Make Over,Creamy Lust Lipstick,3.7,7,"Hahah sebenernya warnanya ga cocok buat aku semacam warna pink barbie gitu lah. ( + ) Teksturnya creamy jadi ga bikin bibir kering, Ada sedikit shimmernya, ga ngecrack di bibir. ( - ) Karena teksturnya creamy jadi ga transfer proof apalagi kalo dipake bareng masker auto ... "
Jessthll,18 and Under,,Jessthll recommends this product!,Less than 1 week,Shopee,Make Over,Powerstay Demi-Matte Cover Cushion,4.5,370,"tekstur cushion nya aku suka bgt,dia matte tp ga bikin kulit ku jd kering..kulit ku berminyak tp dia lumaya bisa nahan minyak dimuka ku..yg paling aku suka sih dia lumayan tahan lama..untuh coverage nya medium-full bisa banget buat nutupin bekas jerawat ku..tapi sayang  ... "
LisGowasa, 19 - 24,"Combination, Medium Light, Warm",LisGowasa recommends this product!,1 week - 1 month,Lazada,Dove,Beauty Cream,4.6,103,"Awalnya saya gak suka aromanya, sedikit terganggu. Tapi, ketika saya mencoba mengaplikasikan di kulit bikin tercengang. Kulitku jadi lembab, lembut dan sejuk gitu.. biasanya bagian siku dan lututku kering dan kasar. Tapi pas apply, bagus banget..."
nurulutmi, 25 - 29,"Oily, Medium, Neutral",nurulutmi recommends this product!,More than 1 year,Guardian,Safi,Age Defy Gold Water Essence,4.2,1244,"Pake ini udah sekitar 2 tahun, dan oke. Pake ini sekitar 2-3 botol lah, eh botol terakhirnya mulai ga cocok yang akhirnya malah bikin bruntusan, mungkin karna sempet berhenti sekitar 3bulan. Setiap wajah pasti beda beda kan. Ini gue pake pagi dan malem, efeknya yaaa ena ... "
dellakarlina,25 - 29,,dellakarlina recommends this product!,3 months - 6 months,Beauty Studio,Cosrx,Salicylic Acid Gentle Cleanser,3.9,447,di aku sih kerasa seger gitu. cuma setelah pemakaian 6 bulan kerasa kering. padahal waktu awal setelah 1 botol habis langsung beli 2. eh gataunya kayak kering gitu. jd ini mau aku jual masih segelan. silahkan di wa 081216168147
nurulutmi, 25 - 29,"Oily, Medium, Neutral",nurulutmi recommends this product!,More than 1 year,Guardian,Safi,White Expert Replenishing Night Cream,3.6,502,Pake ini udah sekitar 2 tahun. Perubahan signifikan juga engga sih. Lebih ke buat melembabkan aja sih yah kalo di gue. Di gue sih ga ada efek apa apa. Setiap wajah pasti beda beda kan. Recomend untuk pemula yang mau pake skincare mending pake ini deh
faustinaals, 19 - 24,"Oily, Medium Dark, Neutral",faustinaals recommends this product!,Less than 1 week,FD Try and Review,Citra,Marine Collagen Multifunction Gel Lotion,4.5,39,"untuk multifunction gel lotion ini aku kurang sama finish nya, melembabkan cuma sesaat aja, tapi kelebihan nya dia gampang menyerap, wangi nya juga termasuk yang soft, tapi wangi nya pun ga tahan lama,lebih suka sama yang light body lotion nya sih"
juaaa13, 18 and Under,"Combination, Light, Neutral",juaaa13 recommends this product!,1 week - 1 month,Official Brand Store,Wardah,Lightening Night Cream,3.5,930,"awal pake glowing tapi kalo ud dicampur sama serum hyaluronic jadi nya bau 😭, ga tau juga kenapa bisa bau ga enak, parfume ny kuat bngt, untung nya ga bikin beruntusan / jerawat dan ga nimbulin efek panas"
pitiutami, 30 - 34,"Dry, Light, Neutral",pitiutami recommends this product!,1 week - 1 month,FD Try and Review,Pond's,Anti Bacterial Facial Foam,4.1,38,"Menurutku ini tipikal face wash ponds banget sih. Dulu awal awal pake sabun pencuci mukaku tuh pasti belinya ponds. Busanya lumayan banyak, dan yang seri Anti Bacterial ini pun gitu.. busanya banyak.. Dan baunya kayak detol bund 😁 Ini aku ngga tau mau bilang hit or mis ... "
salsabilazka, 19 - 24,"Combination, Medium, Warm",salsabilazka recommends this product!,Less than 1 week,Gift,COLab,Dry Shampoo,4.2,169,"Hair savior saat ngga ada waktu buat keramas! Apalagi ada cutie travel size-nya, jadi must have product waktu lagi travelling:) Rambut langsung kerasa fresh karena ada efek cooling, minyak berkurang dan jadi mudah diatur, wanginya juga manis fresh gitu! Ngga ada whiteca ... "
rizmadiaz09, 19 - 24,"Combination, Medium Light, Neutral",rizmadiaz09 recommends this product!,6 months - 1 year,Tokopedia,Hada Labo,Gokujyun Ultimate Moisturizing Milk,3.9,1403,"produk ini kalo di combine sama si hydrating lotion nya nyatu banget sama kulit. kulit jadi kenyel dan moist. tapi, kalo make nya kebanyakan dia bakal muncul acne dan bruntusan gradakan gitu. tapi, kalo make nya pas dia malah bikin kulit glowing dan nyatu banget, love"
